신체계통,증상,KTAS 단계,고려사항
심혈관계,심정지(비외상성),1,심정지 (비외상성)
심혈관계,심정지(비외상성),5,심폐소생술의 대상이 아닌 경우
심혈관계,심정지(외상성),1,심정지 (외상성)
심혈관계,심정지(외상성),5,심폐소생술의 대상이 아닌 경우
심혈관계,흉통 (심장성),2,심장성 흉통
심혈관계,흉통 (비심장성),2,"기타 심각한 가슴 통증 (잡아 째는, 찢어지는 통증)"
심혈관계,흉통 (비심장성),5,"가슴 통증, 비심장성"
심혈관계,심계항진 / 불규칙한 심장박동,2,심장성 가슴 통증
심혈관계,심계항진 / 불규칙한 심장박동,2,치명적일 수 있는 부정맥의 병력이나 기록
심혈관계,심계항진 / 불규칙한 심장박동,3,"급성 발병, 지속되는 증상"
심혈관계,심계항진 / 불규칙한 심장박동,4,"심계항진 병력, 현재는 회복된 상태"
심혈관계,고혈압,2,"고혈압 (수축기혈압 ≥220 혹은 이완기혈압 ≥130) 증상 있음 + 다음 중 한가지 존재 (숨참, 가슴 통증, 혼미, 급성 두통, 구역/구토)"
심혈관계,고혈압,3,"고혈압 (수축기혈압 ≥220 혹은 이완기혈압 ≥130), 동반된 다른 증상 없음"
심혈관계,고혈압,3,"고혈압 (수축기혈압 200-220 그리고 이완기혈압 110-130), 고혈압 증상 동반"
심혈관계,고혈압,4,"고혈압 (수축기혈압 200-220 그리고 이완기혈압 110-130), 무증상"
심혈관계,전신 쇠약,1,중증 탈수
심혈관계,전신 쇠약,2,중등도 탈수
심혈관계,전신 쇠약,3,갑자기 보행이 어려움
심혈관계,전신 쇠약,3,경증 탈수
심혈관계,전신 쇠약,4,탈수의 가능성 있음
심혈관계,전신 쇠약,4,만성 쇠약
심혈관계,실신 / 전실신,2,"새로 발병한 부정맥, 불규칙 맥박 / 맥박수의 변화"
심혈관계,실신 / 전실신,2,전구증상 없음
심혈관계,실신 / 전실신,2,운동 중 발생함
심혈관계,실신 / 전실신,3,전구증상 동반 또는 급격한 자세 변화시 발병
심혈관계,실신 / 전실신,3,의식소실의 병력
심혈관계,실신 / 전실신,4,"정상 활력, 증상 회복"
심혈관계,전신 부종,4,"전신 부종, 정상 활력징후"
심혈관계,다리 부기 / 부종,3,일측성 다리 부기 / 부종
심혈관계,다리 부기 / 부종,5,양측성 다리 부기 / 부종
심혈관계,다리 부기 / 부종,5,만성
심혈관계,맥박이 없거나 차가운 사지,2,사지 말단에 맥박이 없음
심혈관계,맥박이 없거나 차가운 사지,2,사지가 차가움
심혈관계,일측성의 홍조 띤 뜨거운 사지,3,광범위한 염증
심혈관계,일측성의 홍조 띤 뜨거운 사지,4,국소성 염증
귀,귀의 이물질,5,귀의 이물질
귀,청력소실,3,"청력소실, 급성 발병"
귀,청력소실,5,"청력소실, 서서히 발병"
귀,이명,2,아스피린 복용 가능성 있음
귀,이명,4,이명
귀,귀의 손상,2,절단
귀,귀의 손상,3,"창백하거나 청색증을 동반한 동상, 중증"
귀,귀의 손상,4,"색 변화를 동반하지 않은 동상, 경증"
귀,귀의 손상,4,봉합이 필요한 열상
귀,귀의 손상,5,봉합이 불필요한 열상 / 찰과상
"입,목/얼굴",치아 / 구강 문제,2,치아 박리 (최근 발생하였으며 온전한 치아가 존재)
"입,목/얼굴",치아 / 구강 문제,4,활력 징후가 정상이며 기저 질환이 없는 잇몸 출혈
"입,목/얼굴",치아 / 구강 문제,5,"치아 / 잇몸 문제, 경증 문제"
"입,목/얼굴",인후통,2,침흘림 또는 협착음
"입,목/얼굴",인후통,2,"입술, 혀, 입인두의 명백한 부종 / 부기"
"입,목/얼굴",인후통,3,연하장애
"입,목/얼굴",인후통,5,경증 인후통 ± 후두염
"입,목/얼굴",목의 부종 / 통증,2,경부 강직 / 수막자극증 ± 열
"입,목/얼굴",목의 부종 / 통증,5,만성 중심성 경증 통증을 동반한 목의 부종 / 통증
"입,목/얼굴",목의 외상,2,"이상감각, 신경학적 징후"
"입,목/얼굴",목의 외상,2,목쉰소리와 언어장애
"입,목/얼굴",연하장애 / 연하곤란,2,침흘림 또는 협착음
"입,목/얼굴",연하장애 / 연하곤란,3,이물질의 가능성
코,코피,2,적절한 압박에도 멈추지 않는 코피
코,코피,3,압박으로 지혈된 코피
코,코피,4,"급성 코피, 두드러진 출혈은 없음"
코,코피,5,주기적 / 반복적이며 두드러지지 않은 출혈
코,코막힘,5,코막힘
코,코의 이물질,2,단추형 건전지
코,코의 이물질,5,급성 말초성 경증 통증을 동반한 코의 이물질
코,상기도감염 증상 호소,5,"건강해 보임, 열 없음"
코,코의 외상,2,적절한 지혈에도 멈추지 않는 코피
환경손상,동상 / 한랭손상,2,사지 말단부위에 맥박이 없고 차가움
환경손상,동상 / 한랭손상,3,피부가 창백함
환경손상,동상 / 한랭손상,5,동상 / 한랭손상
환경손상,온열손상,1,중증 탈수
환경손상,온열손상,1,중심체온 >41°C
환경손상,온열손상,2,중등도 탈수
환경손상,온열손상,2,중심체온 39-41°C
환경손상,온열손상,3,지속되는 열경련 (heat cramps)
환경손상,온열손상,3,경증 탈수
환경손상,온열손상,4,정상활력 징후
환경손상,온열손상,4,"열경련이 회복된 상태, 탈수에서 호전"
환경손상,유해물질 흡입,3,"연기나 기타 물질 흡입, 호흡곤란 없음"
환경손상,유해물질 흡입,4,"유해물질을 흡입한 후 상당한 시간이 지남, 무증상"
환경손상,전기 손상,2,명백한 피부 손상
환경손상,전기 손상,3,명백한 피부 손상 없음
환경손상,화학물질 노출,1,체표면적 25% 이상의 중증 화상
환경손상,화학물질 노출,2,"손이나 발, 샅고랑 부위, 얼굴의 중증 화상"
환경손상,화학물질 노출,2,눈에 이물질이 튄 후 증상 있음
환경손상,저체온증,2,"저체온증, 중심 체온 <32°C"
환경손상,저체온증,3,중심체온 32-35°C
환경손상,저체온증,4," 동상 없음, 정상 활려징후"
환경손상,익수,2,"저체온증, 중심 체온 <32°C"
환경손상,익수,3,중심 체온 32-35°C
소화기계,복통,5,만성 경증 복부 통증
소화기계,식욕부진,3,심각한 체중 감소
소화기계,식욕부진,4,"식욕부진, 건강해 보임"
소화기계,변비,5,단순변비
소화기계,설사,1,중증 탈수
소화기계,설사,2,중등도 탈수
소화기계,설사,3,멈추지 않는 혈성 설사
소화기계,설사,3,경증 탈수
소화기계,설사,4,탈수 가능성 있음
소화기계,설사,5,"만성 설사, 정상 활력징후"
소화기계,직장내 이물질,5,직장내 이물질
소화기계,샅고랑 부위 통증 / 종괴,5,샅고랑 부위 통증 / 종괴
소화기계,구토 / 구역,1,중증 탈수
소화기계,구토 / 구역,2,지속되는 상당량의 토혈
소화기계,구토 / 구역,2,중등도 탈수
소화기계,구토 / 구역,3,커피 찌꺼기 모양 구토 / 흑색변
소화기계,구토 / 구역,3,경증 탈수
소화기계,구토 / 구역,4,탈수 가능성 있음
소화기계,구토 / 구역,5,"만성 구토 / 구역, 정상 활력징후"
소화기계,토혈,2,활동성 또는 증상을 동반한 토혈
소화기계,토혈,3,커피 찌꺼기 모양 구토 / 흑색변
소화기계,토혈,3,"구토에 극소량이 섞인 경우, 정상 활력징후"
소화기계,혈변 / 흑색변,2,많은 양의 흑색변 또는 직장 출혈
소화기계,혈변 / 흑색변,3,중등도 양의 흑색변 또는 직장 출혈
소화기계,혈변 / 흑색변,4,적은 양의 직장 출혈
소화기계,황달,5,"황달, 건강해 보임"
소화기계,딸꾹질,5,"딸꾹질, 만성, 힘들어 보이지 않음"
소화기계,복부 종괴 / 팽만,3,지속적인 구토
소화기계,복부 종괴 / 팽만,5,"만성 복부 종괴 / 팽만, 건강해 보임"
소화기계,항문 / 직장 / 회음부 외상,5,항문 / 직장 / 회음부 외상
소화기계,이물질 삼킴,2,침흘림 또는 협착음
소화기계,이물질 삼킴,2,목쉰소리와 언어장애
소화기계,이물질 삼킴,2,"단추형 건전지, 뽀족한 물건 등 치료적 내시경을 고려해야 하는 경우"
소화기계,이물질 삼킴,3,지속적인 구토
소화기계,이물질 삼킴,4,연하곤란이나 호흡 곤란 없음
비뇨기계/남성생식계,옆구리 통증,5,만성 경증 옆구리 통증
비뇨기계/남성생식계,혈뇨,5,혈뇨
비뇨기계/남성생식계,생식기의 분비물 / 피부병변,5,생식기의 분비물 / 피부병변
비뇨기계/남성생식계,음경 부종,2,지속발기증
비뇨기계/남성생식계,음경 부종,2,감돈포경
비뇨기계/남성생식계,음경 부종,5,음경 부종
비뇨기계/남성생식계,고환 통증 / 부종,5,고환 통증 / 부종
비뇨기계/남성생식계,소변배출장애,4,소변배출장애
비뇨기계/남성생식계,요로감염 증상,5,"만성, 경증 요로감염 증상호소 / 증상"
비뇨기계/남성생식계,핍뇨증,4,핍뇨증
비뇨기계/남성생식계,다뇨증,4,다뇨증
비뇨기계/남성생식계,생식기의 외상,3,"성폭행, 안정되어 있음"
비뇨기계/남성생식계,생식기의 외상,5,"생식기의 외상, 통증 없음"
정신건강,우울증 / 자살 / 자해,2,계획적인 자살시도
정신건강,우울증 / 자살 / 자해,2,뚜렷한 자살의도
정신건강,우울증 / 자살 / 자해,2,도주의 가능성이나 안전에 대한 위협
정신건강,우울증 / 자살 / 자해,3,구체적인 계획이 없는 자살관념
정신건강,우울증 / 자살 / 자해,4,"우울함, 자살생각은 없음"
정신건강,불안 / 위기 상황,2,중증 불안 / 초조
정신건강,불안 / 위기 상황,2,도주의 가능성이나 안전에 대한 위협
정신건강,불안 / 위기 상황,3,중등도 불안 / 초조
정신건강,불안 / 위기 상황,4,경증 불안 / 초조
정신건강,환각 / 망상,2,"급성 정신병, 중증 불안 / 초조, 도주의 가능성이나 안전에 대한 위험"
정신건강,환각 / 망상,3,중등도 불안 / 초조 또는 편집증을 동반
정신건강,환각 / 망상,4,"경증의 불안 / 초조, 안정되어 있음"
정신건강,환각 / 망상,5,만성적인 환각으로 인한 경증의 불안 / 초조
정신건강,불면증,4,급성 불면증
정신건강,불면증,5,만성 불면증
정신건강,폭력 / 살인 행위,1,자신 혹은 타인을 해치려는 구체적인 계획이 있거나 충동을 억제할 수 없는 상태
정신건강,폭력 / 살인 행위,2,도주의 가능성이나 안전에 대한 위험
정신건강,폭력 / 살인 행위,3,구체적 계획이 없는 폭력적인 생각 (ideation)
정신건강,사회문제,3,"육체적 학대, 정신적 학대, 심각한 감정적 스트레스"
정신건강,사회문제,4,대처하기 어려운 상태
정신건강,사회문제,5,"만성, 비급성 상태"
정신건강,기괴한 행동,1,조절되지 않는 행동
정신건강,기괴한 행동,2,도주의 가능성이나 안전에 대한 위험
정신건강,기괴한 행동,3,조절되는 행동
정신건강,기괴한 행동,4,해를 끼치지 않은 행동
