consideration,description 
무의식,의식수준 Coma 또는 AVPU가 U(Unresponsive. 무반응) 또는 GCS 점수가 3-8 사이
의식변화,"의식수준 Drowsy/Lethargy, Stupor, Semi-coma 또는 AVPU가 V(Verbal. 언어반응), P(Painful. 통증반응) 또는 GCS 점수가 9-13 사이"
쇼크,"약한 맥박, 심각한 빈맥 또는 서맥, 의식수준의 저하, 패혈성 쇼크처럼 홍조를 띠고 열이 나며 아파 보이는 경우"
혈역학적 장애,"설명되지 않는 빈맥, 기립성 저혈압, 저혈압 의심"
비정상 맥박수지만 혈역학적으로 안정,정상 활력징후의 상한치 또는 하한치를 보이는 경우
중증 호흡곤란,산소포화도 <90% (급성)
중등도 호흡곤란,산소포화도 <92% (급성) 혹은 <90% (만성)
경증 호흡곤란,산소포화도 92-94%
"열, 면역저하 상태","중성구감소증 (또는 중성구감소증 의증), 항암 화학 요법 또는 스테로이드를 포함한 면역억제제를 복용중인 경우"
패혈증 의증,3개 이상의 SIRS 기준을 만족
전신염증반응증후군,열을 포함한 2개 이상의 SIRS 기준을 만족
열 (아파 보임),"열이 있으면서 아파보이는 상태 (홍조, 기면, 불안 또는 초조한 상태)"
열 (건강해 보임),열만 있고 곤란함 없이 편안해 보이는 상태
급성 중심성 중증 통증,
급성 중심성 중등도 통증,
급성 중심성 경증 통증,
만성 중심성 중증 통증,
만성 중심성 중등도 통증,
만성 중심성 경증 통증,
급성 말초성 중증 통증,
급성 말초성 중등도 통증,
급성 말초성 경증 통증,
만성 말초성 중증 통증,
만성 말초성 경증/중등도 통증,
출혈성 질환 (생명 혹은 사지를 소실할 정도의 위급한 출혈),"출혈성 질환이 있으면서 다음 증상 동반: 두부(두개 내)/경부/흉부/복부/골반/척추 부위 출혈, 대량 질 출혈, 엉덩허리근과 엉딩이 부위 출혈, 사지 근육 구획 증후군, 골절 또는 탈구, 건손상이나 신경손상을 동반한 심부 열상, 멈추지 않는 출혈"
출혈성 질환 (중등도나 경도의 출혈),"출혈성 질환이 있으면서 다음 증상 동반: 코(코피), 입(잇몸 포함), 관절(혈관절증) 부위 출혈, 월경과다, 찰과상과 단순 열상"
고위험성 사고기전,"자동차 사고, 오토바이 사고, 자동차와 충돌, 추락, 관통상, 폭행 손상, 머리의 종축으로 외력이 발생한 경우"
