성인/소아,신체계통,증상,1/2차 구분,KTAS 단계,고려사항
성인,심혈관계,심정지(비외상성),2차,1,심정지 (비외상성)
성인,심혈관계,심정지(비외상성),2차,5,심폐소생술의 대상이 아닌 경우
성인,심혈관계,심정지(외상성),2차,1,심정지 (외상성)
성인,심혈관계,심정지(외상성),2차,5,심폐소생술의 대상이 아닌 경우
성인,심혈관계,흉통 (심장성),1차,1,중증 호흡곤란
성인,심혈관계,흉통 (심장성),1차,1,쇼크
성인,심혈관계,흉통 (심장성),1차,1,무의식
성인,심혈관계,흉통 (심장성),1차,2,중등도 호흡곤란
성인,심혈관계,흉통 (심장성),1차,2,혈역학적 장애
성인,심혈관계,흉통 (심장성),1차,2,의식변화
성인,심혈관계,흉통 (심장성),1차,2,"열, 면역저하 상태"
성인,심혈관계,흉통 (심장성),1차,2,패혈증 의증
성인,심혈관계,흉통 (심장성),1차,2,급성 중심성 중증 통증
성인,심혈관계,흉통 (심장성),2차,2,심장성 흉통
성인,심혈관계,흉통 (비심장성),1차,1,중증 호흡곤란
성인,심혈관계,흉통 (비심장성),1차,1,쇼크
성인,심혈관계,흉통 (비심장성),1차,1,무의식
성인,심혈관계,흉통 (비심장성),1차,2,중등도 호흡곤란
성인,심혈관계,흉통 (비심장성),1차,2,혈역학적 장애
성인,심혈관계,흉통 (비심장성),1차,2,의식변화
성인,심혈관계,흉통 (비심장성),1차,2,"열, 면역저하 상태"
성인,심혈관계,흉통 (비심장성),1차,2,패혈증 의증
성인,심혈관계,흉통 (비심장성),1차,2,급성 중심성 중증 통증
성인,심혈관계,흉통 (비심장성),1차,3,경증 호흡곤란
성인,심혈관계,흉통 (비심장성),1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,흉통 (비심장성),1차,3,전신염증반응증후군
성인,심혈관계,흉통 (비심장성),1차,3,열 (아파 보임)
성인,심혈관계,흉통 (비심장성),1차,3,급성 중심성 중등도 통증
성인,심혈관계,흉통 (비심장성),1차,3,급성 말초성 중증 통증
성인,심혈관계,흉통 (비심장성),1차,3,만성 중심성 중증 통증
성인,심혈관계,흉통 (비심장성),1차,4,열 (건강해 보임)
성인,심혈관계,흉통 (비심장성),1차,4,급성 중심성 경증 통증
성인,심혈관계,흉통 (비심장성),1차,4,급성 말초성 중등도 통증
성인,심혈관계,흉통 (비심장성),1차,4,만성 중심성 중등도 통증
성인,심혈관계,흉통 (비심장성),1차,4,만성 말초성 중증 통증
성인,심혈관계,흉통 (비심장성),1차,5,만성 중심성 경증 통증
성인,심혈관계,흉통 (비심장성),1차,5,급성 말초성 경증 통증
성인,심혈관계,흉통 (비심장성),1차,5,만성 말초성 경증/중등도 통증
성인,심혈관계,흉통 (비심장성),2차,2,"기타 심각한 가슴 통증 (잡아 째는, 찢어지는 통증)"
성인,심혈관계,흉통 (비심장성),2차,5,"가슴 통증, 비심장성"
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,1,중증 호흡곤란
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,1,쇼크
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,1,무의식
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,2,중등도 호흡곤란
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,2,혈역학적 장애
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,2,의식변화
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,2,"열, 면역저하 상태"
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,2,패혈증 의증
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,3,경증 호흡곤란
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,3,전신염증반응증후군
성인,심혈관계,심계항진 / 불규칙한 심장박동,1차,3,열 (아파 보임)
성인,심혈관계,심계항진 / 불규칙한 심장박동,2차,2,심장성 가슴 통증
성인,심혈관계,심계항진 / 불규칙한 심장박동,2차,2,치명적일 수 있는 부정맥의 병력이나 기록
성인,심혈관계,심계항진 / 불규칙한 심장박동,2차,3,"급성 발병, 지속되는 증상"
성인,심혈관계,심계항진 / 불규칙한 심장박동,2차,4,"심계항진 병력, 현재는 회복된 상태"
성인,심혈관계,고혈압,1차,1,중증 호흡곤란
성인,심혈관계,고혈압,1차,1,쇼크
성인,심혈관계,고혈압,1차,1,무의식
성인,심혈관계,고혈압,1차,2,중등도 호흡곤란
성인,심혈관계,고혈압,1차,2,혈역학적 장애
성인,심혈관계,고혈압,1차,2,의식변화
성인,심혈관계,고혈압,1차,2,"열, 면역저하 상태"
성인,심혈관계,고혈압,1차,2,패혈증 의증
성인,심혈관계,고혈압,1차,3,경증 호흡곤란
성인,심혈관계,고혈압,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,고혈압,1차,3,전신염증반응증후군
성인,심혈관계,고혈압,1차,3,열 (아파 보임)
성인,심혈관계,고혈압,2차,2,"고혈압 (수축기혈압 ≥220 혹은 이완기혈압 ≥130) 증상 있음 + 다음 중 한가지 존재 (숨참, 가슴 통증, 혼미, 급성 두통, 구역/구토)"
성인,심혈관계,고혈압,2차,3,"고혈압 (수축기혈압 ≥220 혹은 이완기혈압 ≥130), 동반된 다른 증상 없음"
성인,심혈관계,고혈압,2차,3,"고혈압 (수축기혈압 200-220 그리고 이완기혈압 110-130), 고혈압 증상 동반"
성인,심혈관계,고혈압,2차,4,"고혈압 (수축기혈압 200-220 그리고 이완기혈압 110-130), 무증상"
성인,심혈관계,전신 쇠약,1차,1,중증 호흡곤란
성인,심혈관계,전신 쇠약,1차,1,쇼크
성인,심혈관계,전신 쇠약,1차,1,무의식
성인,심혈관계,전신 쇠약,1차,2,중등도 호흡곤란
성인,심혈관계,전신 쇠약,1차,2,혈역학적 장애
성인,심혈관계,전신 쇠약,1차,2,의식변화
성인,심혈관계,전신 쇠약,1차,2,"열, 면역저하 상태"
성인,심혈관계,전신 쇠약,1차,2,패혈증 의증
성인,심혈관계,전신 쇠약,1차,3,경증 호흡곤란
성인,심혈관계,전신 쇠약,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,전신 쇠약,1차,3,전신염증반응증후군
성인,심혈관계,전신 쇠약,1차,3,열 (아파 보임)
성인,심혈관계,전신 쇠약,1차,4,열 (건강해 보임)
성인,심혈관계,전신 쇠약,2차,1,중증 탈수
성인,심혈관계,전신 쇠약,2차,2,중등도 탈수
성인,심혈관계,전신 쇠약,2차,3,갑자기 보행이 어려움
성인,심혈관계,전신 쇠약,2차,3,경증 탈수
성인,심혈관계,전신 쇠약,2차,4,탈수의 가능성 있음
성인,심혈관계,전신 쇠약,2차,4,만성 쇠약
성인,심혈관계,실신 / 전실신,1차,1,중증 호흡곤란
성인,심혈관계,실신 / 전실신,1차,1,쇼크
성인,심혈관계,실신 / 전실신,1차,1,무의식
성인,심혈관계,실신 / 전실신,1차,2,중등도 호흡곤란
성인,심혈관계,실신 / 전실신,1차,2,혈역학적 장애
성인,심혈관계,실신 / 전실신,1차,2,의식변화
성인,심혈관계,실신 / 전실신,1차,2,"열, 면역저하 상태"
성인,심혈관계,실신 / 전실신,1차,2,패혈증 의증
성인,심혈관계,실신 / 전실신,1차,3,경증 호흡곤란
성인,심혈관계,실신 / 전실신,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,실신 / 전실신,1차,3,전신염증반응증후군
성인,심혈관계,실신 / 전실신,1차,3,열 (아파 보임)
성인,심혈관계,실신 / 전실신,2차,2,"새로 발병한 부정맥, 불규칙 맥박 / 맥박수의 변화"
성인,심혈관계,실신 / 전실신,2차,2,전구증상 없음
성인,심혈관계,실신 / 전실신,2차,2,운동 중 발생함
